date,value
2013-01-29,1000000.0
2013-01-30,1006903.1403000001
2013-01-31,1008479.6114
2013-02-01,1009457.3987
2013-02-04,1014252.2893000001
2013-02-05,1007285.2836000001
2013-02-06,1019512.3987
2013-02-07,1018774.9365000001
2013-02-08,1012494.9340000001
2013-02-12,1017681.1941000001
2013-02-13,1013221.2882000001
2013-02-14,1014769.676
2013-02-15,1009653.6134000001
2013-02-18,1017926.8090000001
2013-02-19,1017855.3298000001
2013-02-20,1021020.1581000001
2013-02-21,1016292.0651
2013-02-22,1018233.8695
2013-02-25,1026820.214
2013-02-26,1019661.785
2013-02-27,1015782.4088000001
2013-02-28,1024629.4215
2013-03-01,1026760.5452000002
2013-03-04,1028551.2608
2013-03-05,1028443.2026000001
2013-03-06,1035510.0412000001
2013-03-07,1035890.9148
2013-03-08,1045150.8229
2013-03-11,1049134.4099
2013-03-12,1046765.7684000002
2013-03-13,1044989.822
2013-03-14,1048504.1503000001
2013-03-15,1054150.8829
2013-03-18,1043783.8959000001
2013-03-19,1051902.9008000002
2013-03-21,1056183.4242
2013-03-22,1047622.8001000001
2013-03-25,1052746.5569000002
2013-03-26,1050090.8469000002
2013-03-27,1051772.9612000003
2013-03-28,1045936.9198000003
2013-03-29,1047728.2447000003
2013-04-01,1037317.9831000003
2013-04-02,1033344.2567000003
2013-04-03,1042575.4131000002
2013-04-04,1050685.8600000003
2013-04-05,1057602.1699000003
2013-04-08,1070219.1545000002
2013-04-09,1071053.5259000002
2013-04-10,1076693.8631000002
2013-04-11,1084844.8391000002
2013-04-12,1083920.5717000002
2013-04-15,1077631.4487
2013-04-16,1074289.2054
2013-04-17,1079449.8688
2013-04-18,1074221.1192
2013-04-19,1077177.9433
2013-04-22,1084914.074
2013-04-23,1084305.3693
2013-04-24,1092767.8103999998
2013-04-25,1095291.0821999998
2013-04-26,1092701.0030999999
2013-04-30,1092178.8424
2013-05-01,1090829.7552
2013-05-02,1087824.1885
2013-05-07,1103026.1126
2013-05-08,1106473.2096000002
2013-05-09,1102033.6582000002
2013-05-10,1113575.5189000003
2013-05-13,1120145.0553000001
2013-05-14,1119552.9793000002
2013-05-15,1126982.9403000004
2013-05-16,1124631.0509000004
2013-05-17,1130237.5479000004
2013-05-20,1139563.4588000006
2013-05-21,1144122.8858000005
2013-05-22,1150916.3941000006
2013-05-23,1113928.4520000005
2013-05-24,1117843.9094000007
2013-05-27,1101528.5313000006
2013-05-28,1106464.3902000007
2013-05-29,1107478.8659000006
2013-05-30,1085211.7525000004
2013-05-31,1088138.6707000006
2013-06-03,1071129.6043000007
2013-06-04,1080574.1137000006
2013-06-05,1063991.8869000005
2013-06-06,1058724.0623000003
2013-06-07,1056683.5887000002
2013-06-10,1075938.1001000004
2013-06-11,1069207.3668000004
2013-06-12,1069293.9581000004
2013-06-13,1045455.4544000004
2013-06-14,1051918.7703000004
2013-06-17,1063412.4608000005
2013-06-18,1062688.9919000005
2013-06-19,1069935.4448000006
2013-06-20,1063739.8034000006
2013-06-21,1067871.6452000006
2013-06-24,1063343.7788000004
2013-06-25,1060211.3187000004
2013-06-26,1055720.1709000005
2013-06-27,1066276.0212000003
2013-06-28,1080690.7487000003
2013-07-01,1087806.6228000005
2013-07-02,1095868.4281000004
2013-07-03,1095079.3467000003
2013-07-04,1094481.1336000005
2013-07-05,1103599.3509000004
2013-07-08,1097968.9396000004
2013-07-09,1108589.4800000004
2013-07-10,1106404.9585000004
2013-07-11,1108138.5052000005
2013-07-12,1110782.0365000006
2013-07-16,1113844.6595000005
2013-07-17,1115083.3561000004
2013-07-18,1119708.1332000005
2013-07-19,1112467.2257000003
2013-07-22,1114040.1668000002
2013-07-23,1116418.4981000002
2013-07-24,1114142.6527000002
2013-07-25,1108983.7171000002
2013-07-26,1095582.1927000002
